name,phone,email,city,projectInterested,inventoryId,siteLat,siteLng
Lead One,9300000001,lead1@example.com,Indore,Nemnidhi Residency,,,
Lead Two,9300000002,lead2@example.com,Indore,Nemnidhi Heights,,,
Lead Three,9300000003,lead3@example.com,Indore,Nemnidhi Gardens,,,
Lead Four,9300000004,lead4@example.com,Indore,Nemnidhi Business Park,,,
Lead Five,9300000005,lead5@example.com,Indore,Nemnidhi Elite Homes,,,
Lead Six,9300000006,lead6@example.com,Indore,Nemnidhi Residency,,,
Lead Seven,9300000007,lead7@example.com,Indore,Nemnidhi Heights,,,
Lead Eight,9300000008,lead8@example.com,Indore,Nemnidhi Gardens,,,
Lead Nine,9300000009,lead9@example.com,Indore,Nemnidhi Business Park,,,
Lead Ten,9300000010,lead10@example.com,Indore,Nemnidhi Elite Homes,,,
